Level	L-AC	L-AC(N)	L-AC(H)	L-TH	L-TH(N)	L-TH(H)	L-HP	L-HP(N)	L-HP(H)	L-DM	L-DM(N)	L-DM(H)	L-XP	L-XP(N)	L-XP(H)
96	576	1248	1845	828	1090	1530	824	1801	3723	56	70	92	7101	44096	66144
97	582	1260	1862	836	1101	1545	838	1824	3781	56	70	92	7205	45002	67503
98	588	1272	1880	845	1112	1560	853	1848	3838	57	72	94	7309	45908	68862
99	594	1284	1898	854	1123	1576	867	1872	3896	57	72	94	7413	46814	70221
100	600	1296	1915	863	1134	1591	883	1896	3953	57	72	96	7517	47720	71580
101	606	1308	1933	872	1144	1606	899	1920	4011	58	73	97	7621	48626	72939
102	612	1320	1950	880	1155	1621	914	1943	4068	58	73	97	7725	49532	74298
103	618	1332	1968	889	1166	1636	929	1968	4126	59	75	99	7829	50438	75657
104	624	1344	1986	898	1177	1652	945	1991	4183	59	75	99	7933	51344	77016
105	630	1356	2003	907	1188	1667	961	2016	4241	60	76	100	8037	52250	78375
106	636	1368	2021	916	1198	1682	976	2040	4298	61	77	102	8141	53156	79734
107	642	1380	2038	924	1209	1697	992	2063	4356	61	77	102	8245	54062	81093
108	648	1392	2056	933	1220	1712	1008	2088	4413	62	79	103	8349	54968	82452
109	654	1404	2074	942	1231	1728	1023	2111	4471	63	80	105	8453	55874	83811
110	2100	2100	2100	5225	3919	2612	9000	7000	5000	123	117	110	160000	160000	160000
