Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
Beetleburst	Beetleburst	scarab2	13		8	0	0	3	3	0	1	0	1	13	13	13	Act 2 Super Bx	Act 2 (N) Super Bx	Act 2 (H) Super Bx	0
Leatherarm	Leatherarm	mummy2	14		5	18	0	5	5	0	1	0		25	25	25	Act 2 Super Ax	Act 2 (N) Super Ax	Act 2 (H) Super Ax	0
Coldworm the Burrower	Coldworm the Burrower	maggotqueen1	15		18	8	0	0	0	0	0	0		13	13	13	Act 2 Super Bx	Act 2 (N) Super Bx	Act 2 (H) Super Bx	0
Fire Eye	Fire Eye	sandraider3	16		9	6	0	3	3	0	1	0		12	12	12	Act 2 Super Bx	Act 2 (N) Super Bx	Act 2 (H) Super Bx	0
Dark Elder	Dark Elder	zombie5	17		6	8	0	4	4	0	1	0	1	27	27	27	Act 2 Super Bx	Act 2 (N) Super Bx	Act 2 (H) Super Bx	0
The Summoner	The Summoner	summoner	18		5	6	0	0	0	0	1	0		26	26	26	Summoner	Summoner (N)	Summoner (H)	0
Ancient Kaa the Soulless	Ancient Kaa the Soulless	unraveler3	19		25	5	17	3	3	0	1	0		11	11	11	Act 2 Super Cx	Act 2 (N) Super Cx	Act 2 (H) Super Cx	0
The Smith	The Smith	smith	20	smith	5	0	0	0	0	0	1	0		26	26	26	Smith	Smith (N)	Smith (H)	0
Web Mage the Burning	Web Mage the Burning	arach4	21		5	7	0	5	5	0	1	0		19	19	19	Act 3 Super Ax	Act 3 (N) Super Ax	Act 3 (H) Super Ax	0
Witch Doctor Endugu	Witch Doctor Endugu	fetishshaman4	22		8	9	0	6	6	0	1	0		20	20	20	Act 3 Super Bx	Act 3 (N) Super Bx	Act 3 (H) Super Bx	0
Stormtree	Stormtree	thornhulk3	23		6	17	0	4	4	0	1	0	1	35	35	35	Act 3 Super Bx	Act 3 (N) Super Bx	Act 3 (H) Super Bx	0
Sarina the Battlemaid	Sarina the Battlemaid	corruptrogue5	24		6	27	0	9	9	0	1	0	1	36	36	36	Act 3 Super Bx	Act 3 (N) Super Bx	Act 3 (H) Super Bx	0
Icehawk Riftwing	Icehawk Riftwing	batdemon3	25		18	26	0	7	7	0	1	0		21	21	21	Act 3 Super Ax	Act 3 (N) Super Ax	Act 3 (H) Super Ax	0
Ismail Vilehand	Ismail Vilehand	councilmember1	26		6	7	0	2	2	0	1	0		36	36	36	Council	Council (N)	Council (H)	0
Geleb Flamefinger	Geleb Flamefinger	councilmember2	27		5	9	0	2	2	0	1	0		37	37	37	Council	Council (N)	Council (H)	0
Bremm Sparkfist	Bremm Sparkfist	councilmember3	28		30	17	0	2	2	0	1	0		22	22	22	Council	Council (N)	Council (H)	0
Toorc Icefist	Toorc Icefist	councilmember1	29		18	28	0	0	0	0	1	0		23	23	23	Council	Council (N)	Council (H)	0
Wyand Voidfinger	Wyand Voidfinger	councilmember2	30		25	26	0	0	0	0	1	0		38	38	38	Council	Council (N)	Council (H)	0
Maffer Dragonhand	Maffer Dragonhand	councilmember3	31		5	6	0	0	0	0	1	0		23	23	23	Council	Council (N)	Council (H)	0
Winged Death	Winged Death	megademon3	32		5	7	0	7	7	0	1	0		24	24	24	Act 4 Super Ax	Act 4 (N) Super Ax	Act 4 (H) Super Ax	0
The Tormentor	The Tormentor	willowisp3	33		8	9	0	5	5	0	1	0		9	9	9	Act 4 Super Ax	Act 4 (N) Super Ax	Act 4 (H) Super Ax	0
Taintbreeder	Taintbreeder	vilemother2	34		6	0	0	6	6	0	1	0		10	10	10	Act 4 Super Ax	Act 4 (N) Super Ax	Act 4 (H) Super Ax	0
Riftwraith the Cannibal	Riftwraith the Cannibal	regurgitator2	35		18	26	0	8	8	0	1	0		25	25	25	Act 4 Super Ax	Act 4 (N) Super Ax	Act 4 (H) Super Ax	0
Infector of Souls	Infector of Souls	megademon3	36		6	27	0	9	9	0	1	0		26	26	26	Act 4 Super Bx	Act 4 (N) Super Bx	Act 4 (H) Super Bx	0
Lord De Seis	Lord De Seis	doomknight3	37		5	30	24	5	5	0	1	0		11	11	11	Act 4 Super Cx	Act 4 (N) Super Cx	Act 4 (H) Super Cx	0
Grand Vizier of Chaos	Grand Vizier of Chaos	fingermage3	38		5	9	0	9	9	0	1	0		26	26	26	Act 4 Super Bx	Act 4 (N) Super Bx	Act 4 (H) Super Bx	0
The Cow King	The Cow King	hellbovine	39		8	17	0	6	6	0	1	0		27	27	27	Cow King	Cow King (N)	Cow King (H)	0
Corpsefire	Corpsefire	zombie1	40		27	0	0	5	5	0	1	0		25	25	25	Act 1 Super Ax	Act 1 (N) Super Ax	Act 1 (H) Super Ax	0
The Feature Creep	The Feature Creep	hephasto	41	smithdemon	27	30	0	0	0	0	1	0		20	20	20	Haphesto	Haphesto (N)	Haphesto (H)	0
Expansion																				0
Siege Boss	Siege Boss	overseer1	42		5	0	0	0	0	1	0	1		7	7	7	Act 5 Super Ax	Act 5 (N) Super Ax	Act 5 (H) Super Ax	0
Ancient Barbarian 1	Ancient Barbarian 1	ancientbarb1	43		0	0	0	0	0	1	0	1		25	25	25				0
Ancient Barbarian 2	Ancient Barbarian 2	ancientbarb2	44		0	0	0	0	0	1	0	1		26	26	26				0
Ancient Barbarian 3	Ancient Barbarian 3	ancientbarb3	45		0	0	0	0	0	1	0	1		11	11	11				0
Axe Dweller	Axe Dweller	bloodlord3	46		8	9	0	2	2	1	0	0		20	20	20	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Bonesaw Breaker	Bonesaw Breaker	reanimatedhorde2	47		5	8	0	5	5	1	0	0		35	35	35	Act 5 Super Ax	Act 5 (N) Super Ax	Act 5 (H) Super Ax	0
Dac Farren	Dac Farren	imp3	48		18	0	0	4	4	1	0	0	1	36	36	36	Act 5 Super Bx	Act 5 (N) Super Bx	Act 5 (H) Super Bx	0
Megaflow Rectifier	Megaflow Rectifier	minion1	49		1	6	0	8	8	1	0	0	1	21	21	21	Act 5 Super Ax	Act 5 (N) Super Ax	Act 5 (H) Super Ax	0
Eyeback Unleashed	Eyeback Unleashed	deathmauler1	50		5	6	0	2	2	1	0	0		8	8	8	Act 5 Super Ax	Act 5 (N) Super Ax	Act 5 (H) Super Ax	0
Threash Socket	Threash Socket	siegebeast3	51		7	0	0	0	0	1	0	0		37	37	37	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Pindleskin	Pindleskin	reanimatedhorde5	52		9	0	0	6	6	1	0	0		22	22	22	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Snapchip Shatter	Snapchip Shatter	frozenhorror1	53		7	18	0	4	4	1	0	0		23	23	23	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Anodized Elite	Anodized Elite	succubus4	54		9	7	0	6	6	1	0	0		38	38	38	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Vinvear Molech	Vinvear Molech	succubuswitch2	55		8	5	18	0	0	1	0	0		23	23	23	Act 5 Super Ax	Act 5 (N) Super Ax	Act 5 (H) Super Ax	0
Sharp Tooth Sayer	Sharp Tooth Sayer	overseer3	56		6	0	0	3	3	1	0	0	1	24	24	24	Act 5 Super Bx	Act 5 (N) Super Bx	Act 5 (H) Super Bx	0
Magma Torquer	Magma Torquer	imp5	57		5	7	0	5	5	1	0	0		9	9	9	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Blaze Ripper	Blaze Ripper	deathmauler5	58		17	6	0	4	4	1	0	0		10	10	10	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Frozenstein	Frozenstein	snowyeti4	59		18	27	0	5	6	1	0	0		19	19	19	Act 5 Super Cx	Act 5 (N) Super Cx	Act 5 (H) Super Cx	0
Nihlathak Boss	Nihlathak	nihlathakboss	60		0	0	0	0	0	1	0	1		28	28	28	Nihlathak	Nihlathak (N)	Nihlathak (H)	0
Baal Subject 1	Baal Subject 1	fallenshaman5	61		9	0	0	5	5	0	0	1		29	29	29	BaalSubjectDrop	BaalSubjectDrop(N)	BaalSubjectDrop(H)	0
Baal Subject 2	Baal Subject 2	unraveler5	62		23	0	0	3	3	0	0	1		21	21	21	BaalSubjectDrop	BaalSubjectDrop(N)	BaalSubjectDrop(H)	0
Baal Subject 3	Baal Subject 3	baalhighpriest	63		17	0	0	5	5	1	0	1		36	36	36	BaalSubjectDrop	BaalSubjectDrop(N)	BaalSubjectDrop(H)	0
Baal Subject 4	Baal Subject 4	venomlord	64		6	0	0	8	8	1	0	1		20	20	20	BaalSubjectDrop	BaalSubjectDrop(N)	BaalSubjectDrop(H)	0
Baal Subject 5	Baal Subject 5	baalminion1	65		27	0	0	5	5	1	0	1		20	20	20	BaalSubjectDrop	BaalSubjectDrop(N)	BaalSubjectDrop(H)	0
Minium Bosch	Minium Bosch	baboon4	66		5	8	28	4	6	1	0	0		0	0	0				0
Taiser	Taiser	doomknight3	67		8	27	0	4	6	1	0	0		0	0	0				0
Caesar Claw	Caesar Claw	clawviper3	68		8	18	0	3	5	1	0	0		0	0	0				0
Reaper	Reaper	goatman10	69		27	28	0	7	9	1	0	0		0	0	0				0
Corvinus	Corvinus	goatman10	70		0	0	0	0	0	0	0	0		0	0	0				0
