name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Studded Leather	0	0	4	1	32	35	0	0	27	0	32	0	8	0	900	1120	stu	stu			stu	stu	stu	xtu	utu	0	1	2	3	1	2	1	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	20		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			7	8	0	rng	ltp	0	0	1
Ring Mail	0	0	4	1	45	48	0	5	36	0	26	0	11	0	1200	2017	rng	rng			rng	rng	rng	xng	ung	0	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3		1		1	255					255					255	1	1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			7	8	0	scl	chn	0	0	1
Scale Mail	0	0	4	1	57	60	0	10	44	0	36	0	13	0	2000	3011	scl	scl			scl	scl	scl	xcl	ucl	0	1	2	3	1	2	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255			7	8	0	chn	brs	0	0	1
Chain Mail	0	0	4	1	72	75	0	5	48	0	45	0	15	0	3000	4510	chn	chn			chn	chn	chn	xhn	uhn	0	1	2	3	1	2	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255		1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255				1	1					255					255					255			7	8	0	brs	spl	0	0	1
Breast Plate	0	0	4	1	65	68	1	0	30	0	50	0	18	0	4000	5681	brs	brs			brs	brs	brs	xrs	urs	0	1	2	3	1	3	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255		1		1	1					255					255	1	1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1		1	1					255					255					255			7	8	0	spl	plt	0	0	1
Splint Mail	0	0	4	1	90	95	0	5	51	0	30	0	20	0	5000	8995	spl	spl			spl	spl	spl	xpl	upl	0	1	2	3	1	2	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255		1			1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1		1	1			1	1	20					255					255			7	8	0	plt	fld	0	0	1
Plate Mail	0	0	4	1	108	116	0	10	65	0	60	0	24	0	6000	5810	plt	plt			plt	plt	plt	xlt	ult	0	1	2	3	1	2	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255			1	1	20	1	1	1	1	1			1	1	20					255					255			8	8	0	fld	xxx	0	0	1
Field Plate	0	0	4	1	101	105	2	5	55	0	48	0	28	0	7000	8387	fld	fld			fld	fld	fld	xld	uld	0	1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255					255			8	8	0	gth	ful	0	0	1
Gothic Plate	0	0	4	1	128	135	0	5	70	0	55	0	32	0	8000	9568	gth	gth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					1					255				1	1					255					255					255	1	1	1	1	20					1	1	1	1	2	20					255					255			8	8	0	ful	xxx	0	0	1
Full Plate Mail	0	0	4	1	150	161	2	10	80	0	70	0	37	0	8000	8726	ful	ful			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					1					255					255					255					255					255			1	1	20					1	1	1	1	2	20					255					255			8	8	0	aar	xxx	0	0	1
Ancient Armor	0	0	4	1	218	233	5	5	100	0	60	0	40	0	10000	9140	aar	aar			aar	aar	aar	xar	uar	0	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255	1	1	1	2	20					255		1	1	2	20			8	8	0	ltp	xxx	0	0	1
Light Plate	0	0	4	1	90	107	1	0	41	0	60	0	35	0	8000	7761	ltp	ltp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1			255			1	2	20					255		1	1	1	20			7	8	0	buc	xxx	0	0	1
Buckler	0	0	2	1	4	6	0	0	12	0	12	0	1	0	68	301	buc	buc			buc	buc	buc	xuc	uuc	0	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	1	3	100		0	3	1	1	1	1	3		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			8	8	0	sml	tow	0	0	1
Small Shield	0	0	3	1	8	10	0	0	22	5	16	0	5	0	210	551	sml	sml			buc	buc	sml	xml	uml	0	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	2	3	100		0	3	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1				1	1				1	1					255					255					255					255					255			8	5	0	lrg	kit	0	0	1
Large Shield	0	0	4	1	12	14	0	5	34	12	24	0	11	0	814	1138	lrg	lrg			lrg	buc	lrg	xrg	urg	0	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	4	100		0	3		1		1	10		1		1	1					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1			255					255					255					255			8	2	0	kit	tow	0	0	1
Kite Shield	0	0	4	1	16	18	0	0	47	8	30	0	15	0	1029	1793	kit	kit			kit	buc	kit	xit	uit	0	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	5	100		0	3					255					255					255	1	1		1	1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1	1	1	1					255					255					255			8	2	0	tow	gts	0	0	1
Tower Shield	0	0	4	1	22	25	1	10	75	24	60	0	22	0	1849	3689	tow	tow			tow	buc	tow	xow	uow	0	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	1	5	100		0	3					255					255					255		1			1					255					255	1	2	1	1	1					255					255					255					255					255	1	1	1	1	20	1	1			1	1	1	1	2	20					255					20			8	2	0	gts	xxx	0	0	1
Gothic Shield	0	0	4	1	30	35	0	5	60	16	40	0	30	0	1800	7750	gts	gts			kit	buc	gts	xts	uts	0	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	2	6	100		0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255			1	1	20			8	2	0	xxx	xxx	0	0	1
Gloves(L)	0	0	1	1	2	3	0	0	0	0	12	0	3	0	50	406	lgl	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2	0	0	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1	1	1	1	1	3	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			0	8	0	vgl	hgl	0	0	1
Heavy Gloves	0	0	1	1	5	6	0	0	0	0	14	0	7	0	152	661	vgl	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2	0	0	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1		1		1	5		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			0	8	0	mgl	tgl	0	0	1
Bracers(M)	0	0	2	1	8	9	0	0	25	0	16	0	12	0	359	1107	mgl	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2	0	0	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3		1			10					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			0	8	0	tgl	hgl	0	0	1
Light Gauntlets	0	0	3	1	9	11	0	0	45	0	18	0	20	0	1035	2065	tgl	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2	0	0	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	255	1	1		1	255			1	1	20					255	1	1			255			0	8	0	xxx	xxx	0	0	1
Gaunlets(H)	0	0	4	1	12	15	0	0	60	0	24	0	27	0	1864	3607	hgl	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2	0	0	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1		1	255	1	1			255	1	1	1	1	20					255	1	1	1	1	20			0	8	0	xxx	xxx	0	0	1
Leather Boots	0	0	1	1	2	3	0	0	0	0	12	0	3	0	50	406	lbt	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2	0	0	0	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	3	8	120		0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			0	8	0	vbt	tbt	0	0	1
Heavy Boots	0	0	1	1	5	6	0	0	18	0	14	0	7	0	134	658	vbt	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2	0	0	0	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	4	10	120		0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			0	8	0	mbt	tbt	0	0	1
Chain Boots	0	0	2	1	8	9	0	0	30	0	16	0	12	0	854	1102	mbt	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2	0	0	0	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	6	12	120		0	3		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			0	8	0	tbt	hbt	0	0	1
Light Plate Boots	0	0	3	1	9	11	0	0	50	0	18	0	20	0	1630	2060	tbt	tbt			mbt	mbt	tbt	xtb	utb	0	16	2	2	0	0	0	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	8	16	120		0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255			1	1	20					255	1	1			255			0	8	0	xxx	xxx	0	0	1
Plate Boots	0	0	4	1	12	15	0	0	70	0	24	0	27	0	2954	3599	hbt	hbt			hbt	hbt	hbt	xhb	uhb	0	16	2	2	0	0	0	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	10	20	120		0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	1	20					255	1	1	1	1	20			0	8	0	xxx	xxx	0	0	1
Sash(L)	0	0	1	1	2	2	0	0	0	0	12	0	3	0	64	404	lbl	lbl			lbl	lbl	lbl	zlb	ulc	0	16	2	1	0	0	0	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1	0	0	4	0	0	0			0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			0	8	0	vbl	tbl	0	0	1
Light Belt	0	0	1	1	3	3	0	0	0	0	14	0	7	0	192	633	vbl	vbl			vbl	vbl	vbl	zvb	uvc	0	16	2	1	0	0	0	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	4	0	0	4	0	0	0			0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			0	8	0	mbl	hbl	0	0	1
Belt(M)	0	0	2	1	5	5	0	0	25	0	16	0	12	0	495	998	mbl	mbl			mbl	mbl	mbl	zmb	umc	0	16	2	1	0	0	0	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	0	0	0	4	0	0	0			0	1		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			0	8	0	tbl	hbl	0	0	1
Heavy Belt	0	0	2	1	6	6	0	0	45	0	18	0	20	0	963	1735	tbl	tbl			mbl	mbl	tbl	ztb	utc	0	16	2	1	0	0	0	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	5	0	0	4	0	0	0			0	1					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255					255					255	1	1			255			0	8	0	xxx	xxx	0	0	1
Girdle(H)	0	0	3	1	8	11	0	0	60	0	24	0	27	0	1268	2999	hbl	hbl			hbl	hbl	hbl	zhb	uhc	0	16	2	1	0	0	0	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	3	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	2	20					255	1	1			255			0	8	0	xxx	xxx	0	0	1
Bone Helm	0	0	2	1	33	36	0	0	25	0	40	0	22	0	3323	4826	bhm	bhm			bhm	hlm	bhm	xh9	uh9	0	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1			7	8	0	xxx	xxx	0	0	1
Bone Shield	0	0	2	1	10	30	0	0	25	20	40	0	19	0	1075	2701	bsh	bsh			bsh	buc	bsh	xsh	ush	0	7	2	3	1	2	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	3	6	100		0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1			8	8	0	xxx	xxx	0	0	1
Spiked Shield	0	0	3	1	15	25	0	0	30	10	40	0	11	0	1490	1317	spk	spk			spk	buc	spk	xpk	upk	0	7	2	3	1	2	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	5	9	100		0	1					255					255					255					255					255	1	2	1	3	20					255					255					1					255					255					255					255					255					255					255		1		1	1			8	8	0	xxx	xxx	0	0	1
War Hat	0	0	1	1	45	53	0	0	20	0	12	0	34	22	3560	8201	xap	xap			cap	cap	cap	xap	uap	0	0	2	2	1	2	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Sallet	0	0	4	1	52	62	0	0	43	0	18	0	37	25	4510	4347	xkp	xkp			skp	skp	skp	xkp	ukp	0	0	2	2	1	2	1	flpskp	invskp	invxkpu	invxkpu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Casque	0	0	4	1	63	72	0	0	59	0	24	0	42	25	5475	5104	xlm	xlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Basinet	0	0	4	1	75	84	0	0	82	0	30	0	45	25	4083	4310	xhl	xhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Winged Helm	0	0	4	1	85	98	0	0	115	0	40	0	51	25	4846	4500	xhm	xhm			ghm	ghm	ghm	xhm	uhm	0	0	2	2	1	3	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8	0	xxx	xxx	0	0	1
Grand Crown	0	0	4	1	78	113	0	0	103	0	50	0	55	25	4458	4816	xrn	xrn			crn	crn	crn	xrn	urn	0	0	2	2	1	3	1	flpcrn	invcrn	invxrnu	invxrnu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
